2022-12-28 18:45:14 provname=甘肃,obtid=52424,obtname=瓜州,lat=40.32,lon=95.47,height=1170.90
2022-12-28 18:45:14 provname=甘肃,obtid=52436,obtname=玉门镇,lat=40.16,lon=97.02,height=1526.00
2022-12-28 18:45:14 provname=甘肃,obtid=52446,obtname=鼎新,lat=40.18,lon=99.31,height=1177.40
2022-12-28 18:45:14 provname=甘肃,obtid=52447,obtname=金塔,lat=40.00,lon=98.53,height=1270.50
2022-12-28 18:45:14 provname=甘肃,obtid=52533,obtname=酒泉,lat=39.46,lon=98.29,height=1477.20
2022-12-28 18:45:14 provname=甘肃,obtid=52546,obtname=高台,lat=39.22,lon=99.50,height=1332.20
2022-12-28 18:45:14 provname=甘肃,obtid=52652,obtname=张掖,lat=39.05,lon=100.17,height=1461.10
2022-12-28 18:45:14 provname=甘肃,obtid=52661,obtname=山丹,lat=38.48,lon=101.05,height=1765.50
2022-12-28 18:45:14 provname=甘肃,obtid=52674,obtname=永昌,lat=38.13,lon=101.56,height=2093.90
2022-12-28 18:45:14 provname=甘肃,obtid=52679,obtname=武威,lat=37.55,lon=102.40,height=1531.50
2022-12-28 18:45:14 provname=甘肃,obtid=52681,obtname=民勤,lat=38.38,lon=103.05,height=1367.50
2022-12-28 18:45:14 provname=甘肃,obtid=52787,obtname=乌鞘岭,lat=37.12,lon=102.52,height=3045.10
2022-12-28 18:45:14 provname=甘肃,obtid=52797,obtname=景泰,lat=37.11,lon=104.03,height=1630.90
2022-12-28 18:45:14 provname=甘肃,obtid=52884,obtname=皋兰,lat=36.21,lon=103.57,height=1668.50
2022-12-28 18:45:14 provname=甘肃,obtid=52895,obtname=靖远,lat=36.34,lon=104.41,height=1398.20
2022-12-28 18:45:14 provname=甘肃,obtid=52983,obtname=榆中,lat=35.52,lon=104.09,height=1874.40
2022-12-28 18:45:14 provname=甘肃,obtid=52984,obtname=临夏,lat=35.35,lon=103.11,height=1917.20
2022-12-28 18:45:14 provname=甘肃,obtid=52986,obtname=临洮,lat=35.22,lon=103.52,height=1893.80
2022-12-28 18:45:14 provname=甘肃,obtid=52996,obtname=华家岭,lat=35.23,lon=105.01,height=2450.60
2022-12-28 18:45:14 provname=甘肃,obtid=53821,obtname=环县,lat=36.34,lon=107.18,height=1255.60
2022-12-28 18:45:14 provname=甘肃,obtid=53915,obtname=崆峒,lat=35.33,lon=106.40,height=1346.60
2022-12-28 18:45:14 provname=甘肃,obtid=53923,obtname=西峰,lat=35.44,lon=107.38,height=1421.00
2022-12-28 18:45:14 provname=甘肃,obtid=56074,obtname=玛曲,lat=34.00,lon=102.05,height=3471.40
2022-12-28 18:45:14 provname=甘肃,obtid=56080,obtname=合作,lat=35.00,lon=102.54,height=2910.00
2022-12-28 18:45:14 provname=甘肃,obtid=56093,obtname=岷县,lat=34.26,lon=104.01,height=2315.00
2022-12-28 18:45:14 provname=甘肃,obtid=56096,obtname=武都,lat=33.24,lon=104.55,height=1079.10
2022-12-28 18:45:14 provname=甘肃,obtid=57014,obtname=麦积,lat=34.34,lon=105.52,height=1085.20
2022-12-28 18:45:14 provname=广东,obtid=57996,obtname=南雄,lat=25.05,lon=114.15,height=149.70
2022-12-28 18:45:14 provname=广东,obtid=59072,obtname=连州,lat=24.49,lon=112.22,height=131.70
2022-12-28 18:45:14 provname=广东,obtid=59082,obtname=韶关,lat=24.40,lon=113.36,height=121.30
2022-12-28 18:45:14 provname=广东,obtid=59087,obtname=佛冈,lat=23.53,lon=113.31,height=97.20
2022-12-28 18:45:14 provname=广东,obtid=59088,obtname=英德,lat=24.11,lon=113.25,height=74.40
2022-12-28 18:45:14 provname=广东,obtid=59096,obtname=连平,lat=24.22,lon=114.29,height=215.20
2022-12-28 18:45:14 provname=广东,obtid=59097,obtname=新丰,lat=24.03,lon=114.12,height=199.30
2022-12-28 18:45:14 provname=广东,obtid=59107,obtname=龙川,lat=24.07,lon=115.17,height=179.60
2022-12-28 18:45:14 provname=广东,obtid=59116,obtname=大埔,lat=24.21,lon=116.42,height=80.10
2022-12-28 18:45:14 provname=广东,obtid=59117,obtname=梅县,lat=24.17,lon=116.04,height=116.00
2022-12-28 18:45:14 provname=广东,obtid=59271,obtname=广宁,lat=23.38,lon=112.25,height=92.70
2022-12-28 18:45:14 provname=广东,obtid=59278,obtname=高要,lat=22.59,lon=112.29,height=60.00
2022-12-28 18:45:14 provname=广东,obtid=59280,obtname=清远,lat=23.43,lon=113.05,height=79.20
2022-12-28 18:45:14 provname=广东,obtid=59287,obtname=广州,lat=23.13,lon=113.29,height=70.70
2022-12-28 18:45:14 provname=广东,obtid=59289,obtname=东莞,lat=22.58,lon=113.44,height=56.00
2022-12-28 18:45:14 provname=广东,obtid=59293,obtname=河源,lat=23.48,lon=114.44,height=71.10
2022-12-28 18:45:14 provname=广东,obtid=59294,obtname=增城,lat=23.20,lon=113.50,height=30.80
2022-12-28 18:45:14 provname=广东,obtid=59298,obtname=惠阳,lat=23.04,lon=114.22,height=108.50
2022-12-28 18:45:14 provname=广东,obtid=59303,obtname=五华,lat=23.55,lon=115.45,height=135.90
2022-12-28 18:45:14 provname=广东,obtid=59304,obtname=紫金,lat=23.38,lon=115.11,height=176.60
2022-12-28 18:45:14 provname=广东,obtid=59306,obtname=揭西,lat=23.27,lon=115.51,height=80.90
2022-12-28 18:45:14 provname=广东,obtid=59310,obtname=丰顺,lat=23.46,lon=116.10,height=45.30
2022-12-28 18:45:14 provname=广东,obtid=59316,obtname=汕头,lat=23.23,lon=116.41,height=2.30
2022-12-28 18:45:14 provname=广东,obtid=59317,obtname=惠来,lat=22.59,lon=116.18,height=42.00
2022-12-28 18:45:14 provname=广东,obtid=59324,obtname=南澳,lat=23.26,lon=117.02,height=8.00
2022-12-28 18:45:14 provname=广东,obtid=59456,obtname=信宜,lat=22.21,lon=110.56,height=141.40
2022-12-28 18:45:14 provname=广东,obtid=59462,obtname=罗定,lat=22.43,lon=111.36,height=60.00
2022-12-28 18:45:14 provname=广东,obtid=59478,obtname=台山,lat=22.15,lon=112.47,height=33.10
2022-12-28 18:45:14 provname=广东,obtid=59485,obtname=中山,lat=22.31,lon=113.24,height=33.70
2022-12-28 18:45:14 provname=广东,obtid=59488,obtname=珠海,lat=22.17,lon=113.34,height=51.40
2022-12-28 18:45:14 provname=广东,obtid=59493,obtname=深圳,lat=22.33,lon=114.00,height=63.00
2022-12-28 18:45:14 provname=广东,obtid=59501,obtname=汕尾,lat=22.48,lon=115.22,height=17.30
2022-12-28 18:45:14 provname=广东,obtid=59658,obtname=湛江,lat=21.09,lon=110.18,height=53.40
2022-12-28 18:45:14 provname=广东,obtid=59663,obtname=阳江,lat=21.51,lon=111.59,height=90.30
2022-12-28 18:45:14 provname=广东,obtid=59664,obtname=电白,lat=21.33,lon=110.59,height=31.80
2022-12-28 18:45:14 provname=广东,obtid=59673,obtname=上川岛,lat=21.44,lon=112.46,height=21.90
2022-12-28 18:45:14 provname=广东,obtid=59754,obtname=徐闻,lat=20.20,lon=110.11,height=56.20
2022-12-28 18:45:14 provname=广西,obtid=57947,obtname=融安,lat=25.13,lon=109.24,height=121.30
2022-12-28 18:45:14 provname=广西,obtid=57957,obtname=桂林,lat=25.19,lon=110.18,height=164.40
2022-12-28 18:45:14 provname=广西,obtid=57958,obtname=雁山,lat=25.05,lon=110.19,height=151.30
2022-12-28 18:45:14 provname=广西,obtid=59021,obtname=凤山,lat=24.33,lon=107.02,height=509.40
2022-12-28 18:45:14 provname=广西,obtid=59023,obtname=河池,lat=24.42,lon=108.02,height=260.20
2022-12-28 18:45:14 provname=广西,obtid=59027,obtname=巴马,lat=24.08,lon=107.15,height=254.90
2022-12-28 18:45:14 provname=广西,obtid=59037,obtname=都安,lat=23.56,lon=108.06,height=170.80
2022-12-28 18:45:14 provname=广西,obtid=59046,obtname=柳州,lat=24.21,lon=109.24,height=96.80
2022-12-28 18:45:14 provname=广西,obtid=59058,obtname=蒙山,lat=24.12,lon=110.31,height=181.90
2022-12-28 18:45:14 provname=广西,obtid=59065,obtname=八步,lat=24.25,lon=111.30,height=148.70
2022-12-28 18:45:14 provname=广西,obtid=59209,obtname=那坡,lat=23.25,lon=105.50,height=794.10
2022-12-28 18:45:14 provname=广西,obtid=59211,obtname=百色,lat=23.54,lon=106.36,height=174.70
2022-12-28 18:45:14 provname=广西,obtid=59218,obtname=靖西,lat=23.08,lon=106.25,height=739.90
2022-12-28 18:45:14 provname=广西,obtid=59228,obtname=平果,lat=23.19,lon=107.35,height=108.80
2022-12-28 18:45:14 provname=广西,obtid=59242,obtname=来宾,lat=23.46,lon=109.09,height=96.70
2022-12-28 18:45:14 provname=广西,obtid=59254,obtname=桂平,lat=23.24,lon=110.05,height=42.50
2022-12-28 18:45:14 provname=广西,obtid=59265,obtname=梧州,lat=23.29,lon=111.18,height=114.80
2022-12-28 18:45:14 provname=广西,obtid=59417,obtname=龙州,lat=22.20,lon=106.51,height=130.00
2022-12-28 18:45:14 provname=广西,obtid=59431,obtname=南宁,lat=22.38,lon=108.13,height=121.60
2022-12-28 18:45:14 provname=广西,obtid=59446,obtname=灵山,lat=22.25,lon=109.18,height=66.60
2022-12-28 18:45:14 provname=广西,obtid=59453,obtname=玉林,lat=22.40,lon=110.07,height=121.60
2022-12-28 18:45:14 provname=广西,obtid=59626,obtname=东兴,lat=21.34,lon=107.57,height=56.80
2022-12-28 18:45:14 provname=广西,obtid=59631,obtname=防城,lat=21.47,lon=108.21,height=32.40
2022-12-28 18:45:14 provname=广西,obtid=59632,obtname=钦州,lat=21.59,lon=108.36,height=49.20
2022-12-28 18:45:14 provname=广西,obtid=59644,obtname=北海,lat=21.27,lon=109.08,height=12.80
2022-12-28 18:45:14 provname=广西,obtid=59647,obtname=涠洲岛,lat=21.02,lon=109.06,height=55.20
2022-12-28 18:45:14 provname=贵州,obtid=56691,obtname=威宁,lat=26.52,lon=104.17,height=2237.50
2022-12-28 18:45:14 provname=贵州,obtid=56693,obtname=水城,lat=26.35,lon=104.52,height=1815.90
2022-12-28 18:45:14 provname=贵州,obtid=56792,obtname=普安,lat=25.47,lon=104.58,height=1649.40
2022-12-28 18:45:14 provname=贵州,obtid=56793,obtname=盘县,lat=25.43,lon=104.28,height=1800.00
2022-12-28 18:45:14 provname=贵州,obtid=57606,obtname=桐梓,lat=28.08,lon=106.50,height=972.00
2022-12-28 18:45:14 provname=贵州,obtid=57614,obtname=习水,lat=28.20,lon=106.13,height=1180.20
2022-12-28 18:45:14 provname=贵州,obtid=57625,obtname=正安,lat=28.33,lon=107.27,height=679.70
2022-12-28 18:45:14 provname=贵州,obtid=57647,obtname=松桃,lat=28.09,lon=109.11,height=406.10
2022-12-28 18:45:14 provname=贵州,obtid=57707,obtname=毕节,lat=27.18,lon=105.17,height=1510.60
2022-12-28 18:45:14 provname=贵州,obtid=57710,obtname=仁怀,lat=27.48,lon=106.24,height=890.30
2022-12-28 18:45:14 provname=贵州,obtid=57712,obtname=汇川,lat=27.44,lon=106.57,height=983.50
2022-12-28 18:45:14 provname=贵州,obtid=57718,obtname=息烽,lat=27.06,lon=106.43,height=1112.10
2022-12-28 18:45:14 provname=贵州,obtid=57722,obtname=湄潭,lat=27.46,lon=107.28,height=792.20
2022-12-28 18:45:14 provname=贵州,obtid=57729,obtname=余庆,lat=27.14,lon=107.53,height=622.10
2022-12-28 18:45:14 provname=贵州,obtid=57731,obtname=思南,lat=27.57,lon=108.15,height=416.80
2022-12-28 18:45:14 provname=贵州,obtid=57741,obtname=铜仁,lat=27.43,lon=109.10,height=353.20
2022-12-28 18:45:14 provname=贵州,obtid=57803,obtname=黔西,lat=27.02,lon=106.01,height=1231.40
2022-12-28 18:45:14 provname=贵州,obtid=57805,obtname=织金,lat=26.41,lon=105.46,height=1319.30
2022-12-28 18:45:14 provname=贵州,obtid=57806,obtname=安顺,lat=26.15,lon=105.54,height=1431.10
2022-12-28 18:45:14 provname=贵州,obtid=57816,obtname=贵阳,lat=26.35,lon=106.44,height=1223.80
2022-12-28 18:45:14 provname=贵州,obtid=57825,obtname=凯里,lat=26.36,lon=107.59,height=720.30
2022-12-28 18:45:14 provname=贵州,obtid=57827,obtname=都匀,lat=26.19,lon=107.32,height=969.10
2022-12-28 18:45:14 provname=贵州,obtid=57832,obtname=三穗,lat=26.58,lon=108.40,height=626.90
2022-12-28 18:45:14 provname=贵州,obtid=57839,obtname=黎平,lat=26.14,lon=109.08,height=568.80
2022-12-28 18:45:14 provname=贵州,obtid=57840,obtname=天柱,lat=26.54,lon=109.12,height=401.40
2022-12-28 18:45:14 provname=贵州,obtid=57902,obtname=兴仁,lat=25.26,lon=105.11,height=1378.50
2022-12-28 18:45:14 provname=贵州,obtid=57906,obtname=望谟,lat=25.11,lon=106.05,height=566.80
2022-12-28 18:45:14 provname=贵州,obtid=57907,obtname=兴义,lat=25.05,lon=104.54,height=1299.60
2022-12-28 18:45:14 provname=贵州,obtid=57910,obtname=紫云,lat=25.46,lon=106.05,height=1197.60
2022-12-28 18:45:14 provname=贵州,obtid=57912,obtname=惠水,lat=26.08,lon=106.38,height=990.90
2022-12-28 18:45:14 provname=贵州,obtid=57916,obtname=罗甸,lat=25.26,lon=106.46,height=440.30
2022-12-28 18:45:14 provname=贵州,obtid=57922,obtname=独山,lat=25.50,lon=107.33,height=1013.30
2022-12-28 18:45:14 provname=贵州,obtid=57926,obtname=荔波,lat=25.25,lon=107.53,height=428.70
2022-12-28 18:45:14 provname=贵州,obtid=57932,obtname=榕江,lat=25.56,lon=108.31,height=285.70
